courseIdToClone,courseIdToUpdate,sessionName,sessionStatus,sessionSku,seatsLimit,assignTo,priceInCents,accessStartDate,accessEndDate,enrollmentStartDate,enrollmentEndDate,meeting.idToUpdate.1,meeting.idToDelete.1,meeting.title.1,meeting.instructor.1,meeting.locationId.1,meeting.attendeeInfo.1,meeting.startDate.1,meeting.endDate.1
,0785004c-fc0a-4f94-9882-3b37241f9f0e,US - 12 JUL 2021 VILT - CCSA,published,US-120721-V-CCSA,,,300000,,,2021-04-09T00:00:00Z,2021-07-12T23:59:00Z,0177e88b-4190-4957-9e1f-b70d88ca78ae,,US - 12 JUL 2021 VILT - CCSA,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:11110,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:24,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-07-12T15:00:00Z,2021-07-14T23:00:00Z
,bc136d16-7732-4bf5-a60c-827a8ef0c6ea,US - 26 JUL 2021 VILT - CCSA,published,US-260721-V-CCSA,,,300000,,,2021-04-09T00:00:00Z,2021-07-26T23:59:00Z,eec06f25-d0c6-43ad-bcb8-3ef71edf7798,,US - 26 JUL 2021 VILT - CCSA,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:11112,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:24,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-07-26T15:00:00Z,2021-07-28T23:00:00Z
,de9f725c-af5d-40c1-9fb5-bbd8b9c91e07,US - 09 AUG 2021 VILT - CCSA,published,US-090821-V-CCSA,,,300000,,,2021-04-09T00:00:00Z,2021-08-09T23:59:00Z,e614f5a6-3cb5-448e-a4ac-d5943cac9660,,US - 09 AUG 2021 VILT - CCSA,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:11114,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:24,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-08-09T15:00:00Z,2021-08-11T23:00:00Z
,72ec9f73-c5b5-4589-82b0-2a850a2a045b,US - 23 AUG 2021 VILT - CCSA,published,US-230821-V-CCSA,,,300000,,,2021-04-09T00:00:00Z,2021-08-23T23:59:00Z,c10082f5-917c-4351-9368-9b4d35c3f978,,US - 23 AUG 2021 VILT - CCSA,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:11116,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:24,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-08-23T15:00:00Z,2021-08-25T23:00:00Z
,4c11060d-d552-46e0-b2b0-6bd911d243ca,US - 13 SEP 2021 VILT - CCSA,published,US-130921-V-CCSA,,,300000,,,2021-04-09T00:00:00Z,2021-09-13T23:59:00Z,5bead3f3-7c8d-4180-86aa-cd7ad20e2874,,US - 13 SEP 2021 VILT - CCSA,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:11118,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:24,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-09-13T15:00:00Z,2021-09-15T23:00:00Z
,73b78337-be23-4667-af0b-244ce3b209eb,US - 27 SEP 2021 VILT - CCSA,published,US-270921-V-CCSA,,,300000,,,2021-04-09T00:00:00Z,2021-09-27T23:59:00Z,32364711-3993-4a39-9b78-989308c086d2,,US - 27 SEP 2021 VILT - CCSA,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:11120,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:24,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-09-27T15:00:00Z,2021-09-29T23:00:00Z
,8e774571-1098-479b-ade2-2c6ad78e225d,US - 26 APR 2021 VILT GTR - CCSA+CCSE,published,US-260421-VG-CCSA+CCSE,,,500000,,,2021-03-30T16:14:16Z,2021-04-26T15:00:00Z,a3361faa-7c10-4705-ab28-87f6a2785909,,US - 26 APR 2021 VILT GTR - CCSA+CCSE,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:YES,2:Layer8,3: ,4: ,5:10907,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:40,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-04-26T15:00:00Z,2021-04-30T23:00:00Z
,5b1e9fa5-1842-487a-bf2b-c5486e530fb1,US - 10 MAY 2021 VILT - CCSA+CCSE,published,US-100521-V-CCSA+CCSE,,,500000,,,2021-03-11T00:00:00Z,2021-05-10T23:59:00Z,8308ff47-ebc7-4f09-a5ca-36a9b181286e,,US - 10 MAY 2021 VILT - CCSA+CCSE,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:10909,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:40,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-05-10T15:00:00Z,2021-05-14T23:00:00Z
,9bbc9f38-6fa2-4e13-969f-fbb23655f247,US - 24 MAY 2021 VILT - CCSA+CCSE,published,US-240521-V-CCSA+CCSE,,,500000,,,2021-03-11T00:00:00Z,2021-05-24T23:59:00Z,e6102b74-e811-40ad-988b-8b6f4e5bbd75,,US - 24 MAY 2021 VILT - CCSA+CCSE,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:10911,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:40,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-05-24T15:00:00Z,2021-05-28T23:00:00Z
,5deefefa-969f-4c47-a0af-da71b7e07666,US - 07 JUN 2021 VILT - CCSA+CCSE,published,US-070621-V-CCSA+CCSE,,,500000,,,2021-03-11T00:00:00Z,2021-06-07T23:59:00Z,d2d49022-445e-4151-ae15-a94b58d6bd03,,US - 07 JUN 2021 VILT - CCSA+CCSE,,ad917538-ef05-44b2-a44e-429ead09fba6,"<p class=""hiddensessionfields"">1:NO,2:Layer8,3: ,4: ,5:10913,6:NA ,7:VILT ,8:TrainingAdminUS@IngramMicro.com ,9:40,10:-5</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",2021-06-07T15:00:00Z,2021-06-11T23:00:00Z
